,Title_new,Exp_min,Exp_max,NCR,Hyd,Pune,Mumbai,Bangalore,Chennai,Ahmedabad,Kolkata,Kochi,Jaipur,Trivandrum,Indore,Coimbatore,OthersLoc,Skills_list,Dates_new,Exp_avg,Predicted_Salary,Title,Labels6,Labels3
0,Scientist,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Python', ' Machine Learning', ' SQL', ' Spark', ' R', ' Selling', ' Algorithms', ' NoSQL', ' apache']",0,2.0,1,8,3,2
1,Manager,9,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Project Delivery', ' Team Management Skills', ' SCOPE', ' Waterfall', ' Data Analysis']",0,11.5,2,7,3,1
2,Engineer,0,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0.0,"['Big Data developer', ' Data scientist', ' Java', ' Javascript', ' SQL', ' MySQL']",0,2.5,1,4,1,0
3,Lead,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"['data quality', ' data profiling', ' oracle', ' trillium', ' informatica']",0,4.0,0,6,3,1
4,Lead,7,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Analytics Data Wrangler', ' Oracle', ' SQL Server', ' MySQL', ' Cassandra', ' Hive', ' Paxata']",1,8.5,3,6,2,2
5,Lead,5,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['SQL', ' Db2', ' Automation', ' SAS', ' Data modeling', ' RDBMS', ' Performance tuning', ' Coding']",1,6.5,3,6,2,2
6,Analyst,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['R Programming', ' Tableau', ' AWS Redshift']",1,4.0,0,0,1,1
7,Lead,5,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['SQL', ' Db2', ' SAS', ' Data modeling', ' RDBMS', ' Performance tuning', ' Stored procedures', '']",1,6.5,3,6,2,2
8,Lead,7,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,"['data analysis', ' data analytics', ' business analysis', ' tableau', ' data collection', '']",1,9.5,1,6,3,1
9,Lead,5,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,"['Oracle', ' PLSQL', ' SSIS', ' Test cases', ' Monitoring', ' DBMS', ' Test strategy', ' Knowledge']",1,6.5,0,6,3,1
10,Analyst,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"['Regression Analysis', ' SAS', ' R', ' Data Analysis', ' Predictive Modeling']",1,4.0,0,0,1,1
11,Manager,6,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Data Profiling', ' Data Quality', ' Data Analysis', ' Data Warehousing', ' Data Mapping']",1,7.5,0,7,3,1
